四季,#genre#
TVBS-台劇台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv285
八大精彩台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv034
八大綜藝台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv039
三立綜合台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv169
台視,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv066
博斯運動一台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn07
博斯運動二台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn08
博斯無限台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn10
博斯無限二台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn13
博斯網球台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn09
博斯高球台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn05
博斯高球二台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn06
博斯魅力台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn04
ELTA娛樂,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv070
ELTA生活旅遊,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv237
ELTA生活英語,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn20
CNBC-Asia-財經台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv235
亞洲旅遊台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn17
GINX-Esports-TV,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv053
TechStorm,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv181
時尚運動X,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv277
智林體育台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv101
TraceSports,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv077
影迷數位紀實台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv212
影迷數位電影台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv011
AMC-最愛電影,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv017
CatchPlay-電影台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv076
我的歐洲電影,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv176
公視戲劇台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv042
采昌影劇台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv049
台灣戲劇台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn22
戲劇免費看-1台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv270
戲劇免費看-2台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv244
經典電影台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv201
電影免費看-2台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv245
電影原聲台CMusic,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv218
花系列-經典劇場,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv279
CinemaWorld,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv225
HITS-頻道,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv186
Rock-Action,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv180
Rock-Entertainment,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv275
金光布袋戲,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv236
霹靂布袋戲,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv301
夢工廠動畫,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv282
Nickelodeon,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv185
Nick Jr. 兒童頻道,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv219
i-Fun-動漫台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-ftv15
兒童卡通台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv269
精選動漫台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv204
經典卡通台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv202
達文西頻道,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv018
超人力霸王整套看,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv278
MOMO-親子台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv231
LiveABC-互動英語台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv188
Classica-古典樂,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv059
Lifetime-娛樂頻道,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv217
MTV-Live-HD-音樂頻道,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv213
Mezzo-Live,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv083
豬哥亮歌廳秀,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv006
Trace-Urban,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv082
Global-Trekker,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv252
環遊旅行家,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv016
LUXE-TV,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv175
Pet-Club-TV,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv182
TV5MONDE-Style,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv178
車迷-TV,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv160
Love-Nature,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv139
Fun-探索娛樂台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv274
幸福空間居家台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv168
Arirang-TV,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv079
VOA-美國之音,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-ftv03
DW德國之聲,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv226
全球財經台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv224
半島國際新聞台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-ftv10
第1商業台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv104
歷史頻道,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv214
罪案偵查頻道,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv215
知識台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn19
視納華仁紀實頻道,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv013
原住民族電視台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv273
客家電視台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv043
滾動力,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv249
好消息,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-ftv16
好消息2台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-ftv17
大愛電視,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv209
大愛電視,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv230
人間衛視,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv210
國會頻道1,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv084
國會頻道2,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv085
東森購物,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv173
東森購物二台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv174
東森購物三台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv287
東森購物四台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv286
